Person_ID,Age,Gender,Dominant Emotion,Recent Thought,Dream Type,Hours of Sleep,Meditation Frequency,Screen Time (hrs/day),Music Preference,Brain Activity Level (%),Focus Level (%),Creativity Score (1-10),Anxiety Level (1-10),Happiness Index (1-10),Decision-Making Speed (sec),Daydreaming Frequency,Stress Triggers,AI Interaction Level,Philosophical Thinking (%),Caffeine Consumption (mg/day),Social Interaction Level,Most Active Brain Hemisphere,Sleep Quality,Random_Noise
7277,56,Non-binary,Excited,Existential crisis,Abstract,3,Never,4,Metal,46,71,9,8,7,12,Low,Health,Low,24,-50,Ambivert,Left,Good,669
8596,69,Non-binary,Sad,Existential crisis,Lucid,8,Weekly,6,Rock,20,98,10,7,8,3,High,Relationships,Medium,80,50,Ambivert,Right,Poor,491
8454,46,Non-binary,Sad,Focused mode,Lucid,7,Never,6,Pop,52,58,2,4,10,6,High,Social Media,Low,52,100,Ambivert,Balanced,Poor,451
2051,32,Male,,Random nostalgia,Nightmare,3,Weekly,6,Metal,59,23,6,6,8,11,Medium,Social Media,High,90,50,Extrovert,Left,Average,905
7293,60,Non-binary,Sad,Work stress,Lucid,10,Never,2,Rock,51,10,5,4,8,8,Low,Health,Low,27,300,Ambivert,Left,Poor,765
2679,25,Male,Anxious,Focused mode,Lucid,4,Never,7,Rock,88,90,5,7,10,1,Low,Relationships,Low,31,300,Ambivert,Right,Average,675
8777,38,Female,Excited,Focused mode,Abstract,5,Daily,6,Lo-fi,36,34,10,1,3,4,Medium,Finance,Medium,70,100,Ambivert,Right,Poor,769
3213,56,Non-binary,Happy,Work stress,Lucid,6,Never,1,Rock,27,68,3,5,2,1,High,Health,High,70,300,Ambivert,Right,Good,876
3268,36,Male,Anxious,Work stress,Abstract,10,Never,2,Pop,76,81,8,10,4,2,High,Social Media,Low,62,300,Introvert,Balanced,Poor,732
7827,40,Male,,Existential crisis,Abstract,3,Weekly,7,Pop,61,78,8,10,1,8,Low,Social Media,Low,35,500,Extrovert,Balanced,Average,387
2679,28,Non-binary,Happy,Random nostalgia,Lucid,9,Never,1,Metal,28,14,5,4,3,6,High,Work,Low,49,400,Introvert,Balanced,Average,622
8777,28,Female,Excited,Random nostalgia,Nightmare,4,Daily,1,Metal,54,28,8,7,9,9,Low,Relationships,Low,17,-50,Extrovert,Right,Average,825
3213,41,Female,Angry,Work stress,Nightmare,9,Weekly,1,Rock,90,32,10,9,7,2,Low,Work,Low,30,500,Ambivert,Left,Good,261
3268,53,Female,Anxious,Creativity burst,Forgotten,9,Weekly,8,Classical,98,18,8,5,7,3,High,Finance,Low,52,100,Ambivert,Balanced,Poor,716
7827,57,Male,Anxious,Focused mode,Forgotten,9,Daily,4,Lo-fi,72,59,3,4,1,9,High,Health,High,30,200,Extrovert,Right,Average,758
4478,41,Male,Sad,Focused mode,Lucid,9,Weekly,4,Classical,73,25,2,9,7,9,High,Social Media,High,12,50,Extrovert,Balanced,Good,281
8302,20,Male,,Work stress,Nightmare,9,Weekly,2,Rock,44,42,9,5,10,13,Medium,Relationships,Low,40,200,Introvert,Left,Good,949
2600,39,Male,,Creativity burst,Abstract,7,Weekly,1,Rock,86,11,2,9,7,6,Low,Social Media,Low,36,200,Extrovert,Left,Good,648
1285,19,Female,Anxious,Existential crisis,Forgotten,3,Weekly,10,Classical,81,23,9,8,4,14,High,Work,Medium,36,400,Ambivert,Right,Poor,181
8393,41,Non-binary,Anxious,Work stress,Abstract,10,Daily,9,Lo-fi,74,10,4,4,,3,Medium,Work,High,82,50,Introvert,Left,Poor,623
8591,61,Male,Anxious,Work stress,Forgotten,3,Daily,7,Classical,65,99,2,7,8,5,High,Health,High,66,200,Extrovert,Right,Poor,103
9638,47,Male,Angry,Focused mode,Lucid,10,Weekly,4,Metal,43,67,10,5,3,2,Low,Relationships,Low,42,-50,Extrovert,Right,Good,594
9819,55,Female,Anxious,Work stress,Nightmare,6,Weekly,6,Pop,65,98,1,10,10,7,Medium,Relationships,High,53,100,Introvert,Right,Poor,654
3582,19,Non-binary,Angry,Work stress,Forgotten,4,Daily,2,Metal,41,25,4,4,2,10,Low,Health,High,52,50,Extrovert,Right,Average,150
3960,38,Non-binary,Angry,Work stress,Nightmare,5,Daily,7,Pop,30,88,9,5,7,11,High,Work,Medium,40,0,Ambivert,Left,Good,360
9151,50,Female,Anxious,Focused mode,Abstract,7,Daily,2,Rock,67,99,9,5,,8,High,Work,Medium,74,400,Introvert,Left,Poor,233
9313,29,Female,Angry,Existential crisis,Lucid,4,Weekly,10,Lo-fi,27,56,4,9,5,6,High,Work,High,85,-50,Extrovert,Left,Good,698
3468,39,Non-binary,Happy,Existential crisis,Nightmare,7,Weekly,8,Classical,58,53,9,9,5,8,Medium,Social Media,High,26,200,Ambivert,Left,Good,461
